categoryTitle; title ; prop ; price ; fullPrice; imgPath ; categoryUrl;
Битумная черепица Shinglas;Финская, коричневый;Финская, коричневый Вес – 25, 2 кг Длина – 1000 мм Ширина – 318 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/fin_brown.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Финская, красный;Финская, красный Вес – 25, 2 кг Длина – 1000 мм Ширина – 318 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/fin_red.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Финская, зелёный;Финская, зелёный Вес – 25, 2 кг Длина – 1000 мм Ширина – 318 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/fin_green.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Финская, серый;Финская, серый Вес – 25,2 кг Длина – 1000 мм Ширина – 318 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/fin_gray.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Финская, коллекция Аккорд;Серия Финская, коллекция Аккорд Серия Финская Коллекция «Аккорд» – 4 цвета: красный, коричневый, серый и зеленый. Легкий и быстрый монтаж кровли! Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/akkord-kadril.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Финская, Серый;Финская, Серый Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/серый-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Финская, Красный;Финская, Красный Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/finskaya-akkord-krasnyy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Финская, Коричневый;Финская, Коричневый Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/аккорд-коричневый-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Финская, Зеленый;Финская, Зеленый Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 215 руб./м2* Заказать консультацию и бесплатный просчет;215;Цена – 215 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/аккорд-зеленый-150x150.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Фазенда;Серия Фазенда Нарезка – Драконий зуб Серия двухслойной черепицы «Ранчо» убедительно доказывает, что идеальное сочетание цены и качества существует! Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/rancho-drak-zub.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фазенда, серый;Фазенда, серый Вес – 27,3 кг Длина – 1000 мм Ширина – 338 мм Количество в упаковке – 18 Цена – 205 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;205;Цена – 205 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/FAZENDA-Seryy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фазенда, коричневый;Фазенда, коричневый Вес – 27,3 кг Длина – 1000 мм Ширина – 338 мм Количество в упаковке – 18 Цена – 205 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;205;Цена – 205 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/FAZENDA-Korichnevyy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фазенда, красный;Фазенда, красный Вес – 27,3 кг Длина – 1000 мм Ширина – 338 мм Количество в упаковке – 18 Цена – 205 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;205;Цена – 205 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/FAZENDA-Krasnyy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фазенда, зеленый;Фазенда, зеленый Вес – 27,3 кг Длина – 1000 мм Ширина – 338 мм Количество в упаковке – 18 Цена – 205 руб./м2* указана стоимость по Акции Заказать консультацию и бесплатный просчет;205;Цена – 205 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2020/02/FAZENDA-Zelenyy-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Ранчо;Серия Ранчо Нарезка – Драконий зуб Серия двухслойной черепицы «Ранчо» убедительно доказывает, что идеальное сочетание цены и качества существует! Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/rancho-drak-zub.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Ранчо, серый;Ранчо, серый Вес – 25 кг Длина – 1000 мм Ширина – 335 мм Количество в упаковке – 42 Цена – 276 руб./м2* Заказать консультацию и бесплатный просчет;276;Цена – 276 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/rancho-grey.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
